"COSMIC_ID"	"DRUG_ID"	"AUC"
907785	1	0.655641
753614	1	0.879737
909758	1	0.86651
906849	1	0.470419
724866	1	0.845245
909250	1	0.714175
906861	1	0.897063
946373	1	0.811049
905990	1	0.807875
909976	1	0.988196
946368	1	0.966107
1331039	1	0.986118
949088	1	0.941014
753546	1	0.932898
687804	1	0.992145
909773	1	0.987717
908136	1	0.989335
907173	1	0.98483
906856	1	0.986669
1331034	1	0.996162
910566	1	0.9911
949165	1	0.927044
907073	1	0.990365
971773	1	0.991255
683665	1	0.98261
1327768	1	0.980226
907050	1	0.968283
906862	1	0.989576
908447	1	0.984692
688013	1	0.92971
909743	1	0.989943
910401	1	0.988151
905989	1	0.972299
1290455	1	0.991288
907787	1	0.984756
724859	1	0.974839
907323	1	0.98263
910919	1	0.990912
907269	1	0.971066
908458	1	0.981124
1330965	1	0.953042
906850	1	0.943107
908143	1	0.987853
909717	1	0.977276
910688	1	0.990963
753552	1	0.969673
1331044	1	0.98032
946367	1	0.930079
909696	1	0.985147
909249	1	0.993574
917486	1	0.986014
908445	1	0.98752
906871	1	0.985711
924242	1	0.972568
1240193	1	0.988955
906847	1	0.979987
910905	1	0.933295
949166	1	0.985995
688015	1	0.991334
910930	1	0.994967
905974	1	0.989898
724872	1	0.985226
908471	1	0.980807
687600	1	0.991897
908126	1	0.960276
1330991	1	0.982824
906846	1	0.987586
905978	1	0.975414
684072	1	0.951604
753618	1	0.989508
909711	1	0.988356
687997	1	0.988386
753594	1	0.962788
905972	1	0.959178
753620	1	0.984123
910687	1	0.981855
910861	1	0.990322
