"COSMIC_ID"	"DRUG_ID"	"AUC"
906849	1	0.470419
907314	1	0.84096
909250	1	0.714175
753577	1	0.888603
1303896	1	0.645324
907313	1	0.806661
946373	1	0.811049
909974	1	0.868491
949157	1	0.872167
906836	1	0.993663
907268	1	0.988544
910933	1	0.988616
753564	1	0.982211
907050	1	0.968283
753612	1	0.987113
753605	1	0.985768
753558	1	0.983399
1330982	1	0.992861
908452	1	0.976299
687448	1	0.9529
1331034	1	0.996162
909711	1	0.988356
946359	1	0.976546
908136	1	0.989335
753548	1	0.992438
910568	1	0.983645
949164	1	0.985354
907053	1	0.921803
924188	1	0.95001
1331025	1	0.983998
753616	1	0.959748
1330935	1	0.989876
906846	1	0.987586
907170	1	0.98978
909713	1	0.972267
749715	1	0.92226
753565	1	0.983464
684059	1	0.984574
905971	1	0.986621
684057	1	0.983207
688031	1	0.948987
906838	1	0.987164
905942	1	0.988306
1333014	1	0.985663
753620	1	0.984123
909730	1	0.97229
949177	1	0.943088
909701	1	0.94619
910934	1	0.975519
907172	1	0.961021
909976	1	0.988196
946367	1	0.930079
724863	1	0.933878
908483	1	0.989393
908135	1	0.98401
946369	1	0.96891
910921	1	0.954247
910942	1	0.987852
906854	1	0.977538
946363	1	0.981671
908444	1	0.931146
910948	1	0.988831
1331040	1	0.990159
909712	1	0.985296
1240189	1	0.988035
1327771	1	0.971198
910911	1	0.977914
907322	1	0.99257
909703	1	0.977541
909252	1	0.990936
1331031	1	0.956207
684681	1	0.982545
1331050	1	0.992474
907273	1	0.992294
1331045	1	0.977188
1330984	1	0.937731
1330987	1	0.97486
